"9","2021214156","1","169","学习理论，有效教学原则，技术使用，媒体应用原则，学习评价原则
核心：assure模型
学习环境：硬件，软件，远程
搭建网络学习环境，制作学习材料","主要学习部分"
"10","2021214156","2","59","指教师和学生使用的，用于提升学生学习效果的工具、资源和技巧的知识整合。
包括硬件、软件、以及相关应用的软技术","教学技术的定义"
"11","2021214156","2","186","教学技术中的技术，是获取、处理教学信息的不同类型的技术，我们可对其进行评估、管理，教学整合。教育技术主要涉及运用教学理论、学习理论、行为和认知心里的理论和技术来设计、开发、评价教学材料，解决教与学的问题。教学技术是把技术性的内容作为工具；教育技术是运用理论达到教育的目的。教学是工具，教育是过程。

","教育技术与教学技术的不同"
"12","2021214156","3","86","信源：信息发布者
信宿：信息接收者","信源与信宿"
"13","2021214156","3","314","1：文本；
2：声音；
3：视觉材料；图片，图形
4：录像；有声音，有视觉
5可操控的对象；真实的教具，模型
6：人；","媒体的分类"
"14","2021214156","4","311","学习方式：教师主导、学生主导、资源主导、媒体主导的学习；
泰勒--3T模式
作为导师（tutor）作为工具（tool）作为学员（tutee）
技术当做承载和传播的媒体；
典型生态环境：学习社区
媒体，是一种生态圈的假设。","技术和媒体在教学中的作用"
"15","2021214179","2","14","教学技术主要有哪些？","1"
"16","2021214192","2","63","教育技术指的是教师和学生使用的，用于提升学生学习效果的工具、资源和技巧的知识的整合","教育技术的定义"
"17","2021214155","2","0","教学技术：强调工具
教育技术：强调使用工具的过程","教学技术与教育技术"
"18","2021214131","3","438","学生和学习材料的交互产生加强真实的学习","媒体"
"19","2021214161","1","50","什么是21世纪的学习？21世纪的学习有什么特点？21世纪的学习中技术与媒体所起的作用？","21世纪的学习"
"20","2021214161","1","93","不同学习环境下技术与媒体应用的异同","学习环境"
"21","2021214161","1","69","ASSURE中的六个字母分别代表六个设计环节:分析教学对象(Analyze learners);阐述教学目标(State objectives) ;选择教学方法、媒体与资料(Select methods，media and materials) ;使用媒体与资料(Utilize media and materials）;要求学习者参与(Require learner participation)以及评价及修正(Evaluate and revise)。","ASSURE模型"
"22","2021214131","4","0","1.学习系统的四个要素：教师，学生，资源和媒体，相应的技术与媒体在学习中的作用有四种：教师主导的学习，学习者主导的学习，资源主导的学习，媒体主导的学习
2.泰勒的3T模型，作为导师，作为工具，作为学员
3.技术作为一种承载和传播的一种媒体
4.技术从工具的假设变成了一种生态观的假设
5.生态学的观点;技术的作用是帮助培植和维护一种新型的学习生态圈或者学习文化","技术与媒体在学习中的作用"
"23","2021214161","2","162","教育技术：专业名词，使用工具的过程
教学技术：概念，工具","教育技术or教学技术"
"24","2021214158","3","34","媒体实质上是一种交流的中介","媒体"
"25","2021214158","3","275","1.文本  （课本）
2.声音    （为了帮助大家学习制作的歌曲）
3.视觉材料  （微课）
4.录像  （b站上的一些教学视频）
5.可操作对象（化学教学中的3D模型）
6.人","媒体的形式"
"31","2021214139","1","175","在现在的日常生活中，多媒体技术的运用日新月异。作为新时代的未来教师，我们应该熟练掌握并运用多媒体技术手段，将不同形式的多媒体材料应用到课堂教学中，这也是本课程开展的目的及意义。“ASSURE”模型是整合技术媒体和教学模型，应在今后的学习中掌握并应用。","教学技术与媒体的整体把握"
"32","2021214139","2","0","教学技术和教育技术是两个完全不同的概念。教学技术（instructional technology）是教育技术的下属概念，它并不是单纯意义上的用于教学的技术，它是学生和老师用于学习的工具、资源和技巧的知识，通俗来讲，是一种处理教育信息的技术，它的本质是工具。而教育技术则是一种专业，它包含的范围更大。","教学技术概念"
"33","2021214139","3","214","媒体（Mediu）有六个原则，分别是text、audio、visual、video、manipulatives objects、people。举例说明，如DVD就是video中的一种媒体格式（media formats）。教师根据课堂内容，授课对象，选择合适地教学材料（影响学生的特定物体），是的学生在和学习材料的交互学习中获得自身能力的提高。","媒体"
"34","2021214139","4","305","学习系统分为学生、教师、资源、媒体。技术是承载、传播的媒体。不同内容的主导影响着学习内容的不同类型。技术已经不单单是一种工具，它现在已经发展为一种生态观，用于培植和维护新型的学习生态观。“3T模型”包括tutor、tool、tutee，运用计算机程序进行交互式学习。","什么是技术"
"35","2021214149","2","55","教学技术指教师和学生使用的、用于提升学生学习效果的工具、资源和技巧的知识的整合。","教学技术的定义"
"36","2021214149","2","161","这两个词可以说是同义词；但教学技术更侧重于工具，而教育技术则偏指使用工具的过程。","教学技术与教育技术"
"37","2021214149","2","174","1.数字化的存储和访问大规模信息；
2.技术的可用性，能满足不同学生的差异化需求，实现差异化教学；
3.学生不再局限于教室，世界成为学生的教室。","使用技术的三大好处"
"38","2021214149","2","0","教学技术的英文名是 Instructional Technology","名词"
"39","2021214149","3","30","media 是medium的复数形式，指的是：信源和信宿之间传递信息的任何东西。","“媒体”一词的由来"
"40","2021214149","3","420","学生和学习材料（instructional material，课堂中使用的能影响学生的特定物体）的交互，能产生并且加强真实的学习。","学生与学习材料的交互"
"41","2021214149","3","0","不同的媒体有不同的物理形式（叫作媒体格式，media formats）
1.text 文本  最为常见；
2.audio 声音  比较常见；
3.visuals 视觉材料  （使更易懂、更有趣） 如： 动画等
4.video 录像  有视觉、有声音、可体现运动
5.manipulative objects  可操控对象  （常被误认为不是媒体）如 教具
6.people  人","六种不同的媒体"
"42","2021214149","4","11","1.教师
2.学生
3.资源
4.媒体","学习系统的四要素"
"43","2021214149","4","63","档案袋（portfolios）   主题式教学（thematic instruction）","资源主导的学习"
"44","2021214149","4","78","计算机在教学中的作用：
1.tutor 导师（计算机教学程序与学习者的交互）    2.tool 工具 （帮助教师和学生完成各种任务） 3. tutee 学员（学生编程序教计算机完成某项工作，在此过程中学习者自己也学到了相关的知识）","泰勒的3T模式"
"46","2021214149","4","257","技术已不仅仅是一种承载和传播的媒体。
生态学观点认为，技术是帮助培植和维护一种新型的学习生态圈或者学习文化，可以帮助建立一种新的学习生态。（典型的如：学习社区）
Jonassen 从生态观出发，提出：技术不是简单的教学媒体，更重要的是吸引和促进学生投入于认知加工活动的认知工具。","技术（1）"
"47","2021214149","4","297","祝智庭等学者认为，技术的作用是帮助培植和发展新型的学习生态圈，形成丰富、有力的物质性的学习环境，并扩展和改善人际社会互动。","技术（2）"
"48","2021214149","4","0","已经由工具假设转变为了生态观假设。","媒体的作用"
"49","2021214169","2","212","1.数字化存储大量信息
2.满足差异化教学
3.学生不仅局限于教室","三大好处"
"50","2021214131","23","69","加强，奖励所需反应，改变有机体的行为模式","斯金纳箱"
"51","2021214131","23","121","改进教学和学习
产生若干原则
提供教学的实践","行为主义对学习的解释"
"52","2021214131","23","172","负增强物不等于惩罚","负增强物"
"53","2021214131","23","198","依赖可观察的行为","行为主义者"
"54","2021214131","24","44","心理过程
提出问题，解决问题，做出决策","认知主义"
"55","2021214131","24","140","学习者
较少依赖教师的指导
更多依赖自己的认知策略","认知主义"
"56","2021214131","24","159","测验加元认知等于两者折中啊帮助学生学生思考学习","学习"
"57","2021214131","24","196","学生的认知过程的本质决定他们学到什么，以及他们学习他的效率","学习效率"
"58","2021214131","25","88","做中学","建构主义"
