"332","1","2020213220","A,D,B,B"," 2,3,4,"," 1,","2022/9/3 16:02:07","2022/9/3 16:04:05","00:01:58","75","3"
"352","2","2020213220","D,A,C,D"," 1,2,3,4,"," ","2022/9/4 11:33:44","2022/9/4 11:35:04","00:01:19","100","4"
"360","3","2020213220","D,D,B,A"," 1,2,3,4,"," ","2022/9/4 17:12:08","2022/9/4 17:13:15","00:01:06","100","4"
"510","22","2020213220","D,A,C,C"," 1,2,3,4,"," ","2022/9/11 13:47:44","2022/9/11 13:50:38","00:02:53","100","4"
"511","23","2020213220","B,B,C"," 1,3,"," 2,","2022/9/11 13:59:40","2022/9/11 14:01:28","00:01:47","67","2"
"512","24","2020213220","C,A,A"," 3,"," 1,2,","2022/9/11 14:07:44","2022/9/11 14:09:14","00:01:30","33","1"
"514","25","2020213220","A,D,A,A"," 1,2,3,4,"," ","2022/9/11 14:33:32","2022/9/11 14:36:49","00:03:16","100","4"
"651","4","2020213220","C,D,D,C"," 1,2,3,4,"," ","2022/9/18 11:10:21","2022/9/18 11:11:53","00:01:32","100","4"
"654","5","2020213220","D,D,B,C"," 1,2,3,4,"," ","2022/9/18 11:16:19","2022/9/18 11:20:12","00:03:53","100","4"
"802","7","2020213220","B,B,C,A"," 1,3,4,"," 2,","2022/9/28 21:20:20","2022/9/28 21:25:32","00:05:11","75","3"
"805","8","2020213220","B,C,D,D"," 1,2,3,4,"," ","2022/9/28 22:07:32","2022/9/28 22:09:43","00:02:10","100","4"
"852","21","2020213220","B,A,B"," 1,2,3,"," ","2022/10/4 21:14:56","2022/10/4 21:16:02","00:01:05","100","3"
"959","9","2020213220","C,D,D,B"," 1,2,3,4,"," ","2022/10/12 22:12:44","2022/10/12 22:13:18","00:00:34","100","4"
"960","10","2020213220","B,D,B,D"," 1,2,4,"," 3,","2022/10/12 22:52:34","2022/10/12 22:54:36","00:02:02","75","3"
"961","11","2020213220","C,C,B,D"," 1,2,3,4,"," ","2022/10/12 23:07:59","2022/10/12 23:09:00","00:01:01","100","4"
"1023","13","2020213220","A,B"," 1,2,"," ","2022/11/5 18:21:03","2022/11/5 18:22:42","00:01:39","100","2"
"1026","14","2020213220","B,C,B"," 1,2,3,"," ","2022/11/6 12:20:55","2022/11/6 12:21:29","00:00:34","100","3"
"1138","15","2020213220","B,A,A,A"," 1,2,3,"," 4,","2022/11/17 19:36:26","2022/11/17 19:40:12","00:03:46","75","3"
"1161","16","2020213220","D,C,A"," 1,2,3,"," ","2022/11/19 16:34:23","2022/11/19 16:34:54","00:00:31","100","3"
"1162","17","2020213220","B,A,B,C"," 1,2,3,4,"," ","2022/11/19 16:43:46","2022/11/19 16:44:12","00:00:26","100","4"
"1288","19","2020213220","A,B,A,A"," 1,2,3,4,"," ","2022/11/28 21:39:34","2022/11/28 21:40:31","00:00:57","100","4"
"1289","20","2020213220","B,C,B"," 1,2,3,"," ","2022/11/28 21:44:47","2022/11/28 21:45:33","00:00:45","100","3"
"383","1","2020213700","C,D,B,A"," 2,3,"," 1,4,","2022/9/6 16:58:49","2022/9/6 17:00:48","00:01:59","50","2"
"384","2","2020213700","D,A,D,D"," 1,2,4,"," 3,","2022/9/6 17:10:31","2022/9/6 17:11:30","00:00:59","75","3"
"385","3","2020213700","D,A,D,A"," 1,4,"," 2,3,","2022/9/6 17:15:23","2022/9/6 17:16:06","00:00:43","50","2"
"566","22","2020213700","D,A,C,C"," 1,2,3,4,"," ","2022/9/14 19:33:51","2022/9/14 19:35:00","00:01:09","100","4"
"569","23","2020213700","B,D,C"," 1,2,3,"," ","2022/9/14 19:37:56","2022/9/14 19:39:07","00:01:11","100","3"
"573","24","2020213700","A,A,A"," 1,3,"," 2,","2022/9/14 19:42:59","2022/9/14 19:44:09","00:01:09","67","2"
"575","25","2020213700","A,D,A,A"," 1,2,3,4,"," ","2022/9/14 19:47:36","2022/9/14 19:49:13","00:01:37","100","4"
"631","4","2020213700","C,D,D,D"," 1,2,3,"," 4,","2022/9/17 22:53:52","2022/9/17 22:55:16","00:01:23","75","3"
"633","5","2020213700","D,D,A,B"," 1,2,"," 3,4,","2022/9/17 23:06:09","2022/9/17 23:06:57","00:00:47","50","2"
"745","7","2020213700","B,D,D,A"," 1,2,4,"," 3,","2022/9/25 10:22:34","2022/9/25 10:23:03","00:00:28","75","3"
"746","8","2020213700","B,C,D,C"," 1,2,3,"," 4,","2022/9/25 10:31:48","2022/9/25 10:32:45","00:00:56","75","3"
"870","21","2020213700","B,B,B"," 1,3,"," 2,","2022/10/6 16:36:17","2022/10/6 16:36:34","00:00:16","67","2"
"1316","9","2020213700","B,A,A,A"," "," 1,2,3,4,","2022/12/1 16:40:31","2022/12/1 16:40:39","00:00:08","0","0"
"1318","10","2020213700","B,D,B,D"," 1,2,4,"," 3,","2022/12/1 16:43:50","2022/12/1 16:44:30","00:00:40","75","3"
"1319","11","2020213700","C,C,B,D"," 1,2,3,4,"," ","2022/12/1 16:52:35","2022/12/1 16:53:04","00:00:28","100","4"
"1320","13","2020213700","A,B"," 1,2,"," ","2022/12/1 16:56:25","2022/12/1 16:56:33","00:00:07","100","2"
"1321","14","2020213700","C,C,B"," 2,3,"," 1,","2022/12/1 17:00:25","2022/12/1 17:01:03","00:00:38","67","2"
"1322","15","2020213700","B,A,A,B"," 1,2,3,4,"," ","2022/12/1 17:04:41","2022/12/1 17:07:37","00:02:55","100","4"
"1323","16","2020213700","D,C,A"," 1,2,3,"," ","2022/12/1 17:10:40","2022/12/1 17:11:15","00:00:35","100","3"
"1324","17","2020213700","B,A,B,B"," 1,2,3,"," 4,","2022/12/1 17:14:30","2022/12/1 17:14:53","00:00:23","75","3"
"1325","18","2020213700","D,C,B,B"," 2,3,4,"," 1,","2022/12/1 17:18:08","2022/12/1 17:18:46","00:00:37","75","3"
"1326","19","2020213700","A,C,A,A"," 1,3,4,"," 2,","2022/12/1 17:22:22","2022/12/1 17:22:40","00:00:18","75","3"
"1327","20","2020213700","B,C,B"," 1,2,3,"," ","2022/12/1 17:27:25","2022/12/1 17:27:47","00:00:22","100","3"
"399","1","2021211158","C,D,B,D"," 2,3,"," 1,4,","2022/9/7下午12:44:33","2022/9/7下午12:45:11","00:00:37","50","2"
"400","2","2021211158","D,A,C,D"," 1,2,3,4,"," ","2022/9/7下午12:54:43","2022/9/7下午12:55:29","00:00:46","100","4"
"404","3","2021211158","D,D,B,A"," 1,2,3,4,"," ","2022/9/7下午1:12:00","2022/9/7下午1:12:46","00:00:46","100","4"
"309","1","2021214131","B,D,B,B"," 1,2,3,4,"," ","2022/9/3 上午10:22:38","2022/9/3 上午10:30:01","00:07:23","100","4"
"314","2","2021214131","D,B,C,C"," 1,3,"," 2,4,","2022/9/3 上午10:45:41","2022/9/3 上午10:53:55","00:08:14","50","2"
"315","3","2021214131","D,D,B,A"," 1,2,3,4,"," ","2022/9/3 上午11:05:29","2022/9/3 上午11:08:50","00:03:20","100","4"
"448","22","2021214131","D,A,C,C"," 1,2,3,4,"," ","2022/9/9 下午9:30:33","2022/9/9 下午9:32:38","00:02:05","100","4"
"450","23","2021214131","A,D,C"," 2,3,"," 1,","2022/9/9 下午9:48:14","2022/9/9 下午9:55:40","00:07:25","67","2"
"452","24","2021214131","A,A,A"," 1,3,"," 2,","2022/9/9 下午10:01:35","2022/9/9 下午10:04:02","00:02:26","67","2"
"455","25","2021214131","A,D,A,A"," 1,2,3,4,"," ","2022/9/9 下午10:10:52","2022/9/9 下午10:16:19","00:05:26","100","4"
"648","4","2021214131","C,D,D,D"," 1,2,3,"," 4,","2022/9/18 上午10:12:35","2022/9/18 上午10:21:38","00:09:03","75","3"
"737","7","2021214131","B,D,C,A"," 1,2,3,4,"," ","2022/9/25 上午9:07:35","2022/9/25 上午9:12:37","00:05:01","100","4"
"738","8","2021214131","B,C,D,D"," 1,2,3,4,"," ","2022/9/25 上午9:25:57","2022/9/25 上午9:29:26","00:03:29","100","4"
