19,2021214157,\N,通过今天的第一课的学习，了解了教学技术与媒体这门专业课在教育技术专业人才培养里所处的环节，即教育心理模块，是一门着重理论，且也有实验的专业课，知道了考核方式，平时成绩的重要性，因此在今后的学习过程中，也要努力去理解老师所说的内容，并努力把这门课难懂的地方啃完。在看完今天的三个主要内容后，回忆之前老师所教运用的方法，我觉得以后在教书育人的地方，多运用一些技术与媒体，能够让学生学得更具体，更快。因此对于技术和媒体的学习，以及它用在教育上的理论，我要认真学。,绪论,2022/9/1 19:26,,,,,,,,
20,2021214181,\N,今天上课老师讲了教学技术与媒体的课程目标与要求，我才知道这门课归属于教育心理，先行课是新生研讨课。有需要注意的理论和模型，多媒体理论、学习理论等，ASSURE模型，上课时老师给我们讲了以背英语单词、背古诗和教授光合作用相关知识为例子的教学技术媒体应用，视觉媒体听觉媒体和两者相结合的视频，结合情景，什么情况下更符合学生的学习需求，我关注的重点还是课程的评价体系，七比三的分数比例安排，小组的组建，课程预习和反思，都是需要把握的拿分点。,2022.9.1第一节课反思,2022/9/1 19:30,,,,,,,,
21,2021214179,\N,通过今天的一节课，我了解到了在教学过程中，不同教学媒体的使用会带来不同的效果，在教学过程中，要合理使用各种教学媒体，以达到教学目的。在这节课里，我发现以前我所讨厌的知识点，比如高中“光合作用”的知识点，以前是让我最头疼的，都是死记硬背下来的。但是，当我在课上看到有一个老师把这个知识点编成一首歌的时候，我突然发现，原来这个知识点也不是像我想象那般枯燥无味，乏善可陈。所以，从中我得出一个结论：知识点本身并不枯燥，只要用好了教学媒体，知识点也可以变得像游戏那样有趣。,2022年9月1日,2022/9/1 19:32,,,,,,,,
22,2021214160,\N,通过第一节课我了解到了这学期教育技术与媒体这门课所要学习的大致内容和日后我在学习过程中的学习目标，了解了这门课的课程定位、主要内容、预期目标、评价方式以及学习指导。在课上还看到了一些已经运用在教学中的教学技术，例如背单词，背古诗，以及学习生物光合作用时用到的一些工具和技术。希望在一个学期的学习之后我能在了解各类技术与媒体的特点的基础上，能够针对教学领域的一些复杂问题，选择与使用适当地技术，设计恰当的解决方案解决问题。,教学技术与媒体提纲,2022/9/1 19:41,,,,,,,,
23,2021214133,\N,对于教学中，可以通过利用视觉和听觉的刺激使学生接受知识。在老师课堂上举了三个例子，最让我印象深刻的就是让学生背古诗的例子。老师展示了多种方法设计的教学方案，依托于不同的教学媒体以不同的方式刺激学生的记忆以达到使学生背会古诗这一目的。此外，这些教学媒体的应用也是需要步骤的，有一个先后顺序，不同的媒体有不同的效果，运用不同媒体的优势进行设计，可以最大程度增加教学的效果。,第一节,2022/9/1 19:43,,,,,,,,
24,2021214171,\N,为了看懂课本，需要认真学习英语。留心相同内容的不同教学方式，是在以往的学习过程中从未注意的，因为以往学习是关心的就是自己要如何记住知识点，并未留心老师的教学方式。,绪论,2022/9/1 20:34,,,,,,,,
25,2021214152,\N,第一次上教学技术与媒体这堂课，首先是知道了该课程是属于教育心理模块，之后了解到了教学媒体包括文本、视觉、音频、视频。在这次课中，老师给我们展示了很多媒体应用于教学的例子，它们都具有创新性而且对教学有一定帮助。其中我印象最深的是老师在展示完背诵古诗那一部分后，提问我们这些资源应该如何使用。的确，现在网络上可以找到很多优秀的教学资源，各自都有各自的好处，但是我们不可能全部展示给学生，所以如何选择如何应用是值得我们去思考和尝试的。,第一次课反思,2022/9/1 22:10,,,,,,,,
31,2021214136,\N,经过第一堂课的学习，我初步了解了教学媒体在教学中能够发挥很大的作用。在传统的教学模式下，学生仅仅通过听老师讲，看老师写板书来获取所学知识，这种方式很容易使学生产生厌烦心理，学习效率不会很高。但通过教学媒体可以将知识以丰富多彩的形式展示给同学们，如第一堂课上有位老师编的“光合作用”歌，还有记单词所使用的软件，充分调动了学习者的积极性，让学习变得轻松愉快。教学技术与媒体这节课我认为正是将教学的讲课艺术与当代数字媒体相结合，从而提高教学效率和教学水平的一堂课，这对于未来教育的发展来说是个利剑，相信之后的学习我能更深入的了解这些，成为一名合格的教育技术专业的学员。,第一节课-课程介绍,2022/9/2 19:21,,,,,,,,
32,2021214180,\N,"今天是第一次的正式上课，我通过这次课的学习，了解了教学技术与媒体这门课的课程定位是在教育心理模块中。在这门课的学习中，我们需要阅读一本全英文的教材，这对大家来说都是一个挑战。并且这门课主要划分为理论基础，学习环境和教学媒体这三大部分，每个部分又可以进行具体细化。在介绍主要内容时，老师运用了背单词，学古诗和学习光合作用这三个比较典型，对大家来说又比较熟悉的具体案例，使我初步了解了该课程的一些内容。老师对我们在这门课的掌握程度上有一定的预期目标，我也希望能在老师的指导下尽力达到目标。此外，老师对我们提出了课前预习，课上协助和课后反思的要求，我觉得这是有其合理性的，因为进行这三步可以帮助我更好地掌握知识。
",第一次课（9.1）,2022/9/16 0:11,,,,,,,,
33,2021214135,\N,本节课是我们上的第一节课。课堂中，老师为我们从课程定位，主要内容，预期目标，评价方式以及学习指导五个方面展开讲述，让我们对于教学技术与媒体这门课程有了初步的了解。课程主要内容部分，我了解到教授一个知识点可以通过很多种方式，例如：视频，音频，动画，沙画等等多种途径，通过利用教学材料，调动起学习者的视觉，听觉等感官，来达到教学目的。,第一讲,2022/9/2 下午8:31:27,,,,,,,,
34,2021214166,\N,第一节课上课是带着好奇的心态上的，因为之前并没有自己主动的去了解这一节课讲的是什么要学什么，所以还是比较好奇的。而且在课上的那个关于我们这一门课属于的是教育心理学这一个点真的是让我大吃一惊的。然后在后面的讲述的过程中，也对这个教育的媒体像是那个诗的知识点分析、朗读、歌唱、沙画等，以及让我印象最深刻的那个关于光合作用的老师的作曲演唱。总的一节课下来呢，虽然我的课堂活跃度并不高，大家的活跃度其实都不高，但其实也是对这节课很感兴趣，挺有意思的，也十分期待以后的课。,第一节课,2022/9/2 下午10:00:18,,,,,,,,
35,2021214158,\N,在最开始看到课表上这节课的名字“教学技术与媒体”，我其实很迷茫。在我看来，这节课应该是学习如何制作类似于微课等视频、音频、图片甚至是文字类的教学辅助工具的，所以我很不能理解为什么要在我们已经有了视音频制作和平面设计这样的课程的基础上还要再开设这样的一门课程。我怀揣着这样的疑惑来到了课堂，当我看到这门课程居然既不属于应用实践模块，也不属于应用实践模块，而是出乎我意料的属于教育心理模块时，我发现我之前的猜想是错误的。经过老师精彩的讲解，我才明白这门课程的主要内容。按照我的理解，这门课程主要是在我们已经具备了一定的教学辅助工具的制作能力等的基础之上，叫我们如何准确的在课堂之上应用这些工具，强化课堂效果。相信经过一个学期的学习，我一定能够让之后我的课堂变得更加丰富多彩，富有意义,绪论,2022/9/2 下午10:46:49,,,,,,,,
36,2020213220,\N,通过上第一节课，我对这个课程有了一些了解，很意外它居然是属于心理学的范畴。这节课上我了解而到了一些教学过程当中可以使用的媒体，也让我觉得很有趣，因为以前上学时接触的都是比较传统的教学方法，并没有课上所展示的那些视频、音频那样生动形象，我觉得如果可以能够充分利用这些教学媒体和技术，不仅仅可以增添学生在上课的过程当中的乐趣，也可以帮助同学们更好地理解所教学的内容。很期待可以在这堂课上收获到这样一些有趣而又实用的知识。,第一章,2022/9/2 23:00,,,,,,,,
37,2021214145,\N,在这次课中，老师给我们展示了各种各样的教学方式，有视觉教学，听觉教学，视听结合的教学，还有身临其境的教学等等。老师用了一首古诗词，向我们展示了学习一首诗的系统的过程，首先要先学知识，然后再去了解诗词的背景与作者，从而更好的理解诗词，最后可以用歌唱或者其它的方式去对诗歌的感情理解进行一个升华。给我印象最深的是那个老师对光合作用的讲解，他把光合作用的过程编成了一首歌，这样的教学方式既有趣，又能够让人印象深刻。在听完这节课后，我了解到我们的专业实际上在教学上有着很大的施展空间，对教学过程的优化，对教学课件的处理，对教学手段的实施等等。我对这门课的兴趣，也提升了不少，因为我觉得它是一门极其有用的理论课程。,绪论,2022/9/3上午10:11:30,,,,,,,,
38,2021214155,\N,通过第一次的学习，我对教学技术与媒体这门课程有了一个全新的认识。在课上老师通过几个事例带我们初步了解了这门课程一些相关的应用。随着科技的发展，我们在教学中使用媒体来进行传播知识也越来越频繁，媒体也使我们的教学变得越来越生动形象，使教学的方式变得越来越灵活。我相信在学习这门课程之后，我对在教学中应用媒体技术也会有一个质的提升。,第一讲,2022/9/3上午10:18:32,,,,,,,,
39,2021214190,\N,本章概述了这门课程将要学习的一些基本内容，简要介绍了何为技术与媒体，以及其基本应用。首先，介绍了教学技术和教育技术的联系与区别，让我们直观地明白这门课的性质；其次，六种媒体形式带我们清晰地了解了到底什么是媒体的具体表现；最后，媒体与技术对学习的积极作用也让我们更加清楚地了解其重要性。总之，本章系统化地介绍一些基本的概率，有助于我们更加明白该课程的相关信息，以便后续学习打下基础。,教学技术与媒体,2022/9/3 10:28,,,,,,,,
41,2021214159,\N,这节课老师简单介绍了教学媒体的选择和使用，让我知道了在教学时对不同媒体的选择特别重要，对于不同的学生，要选择不同教学媒体及媒体的组合顺序。我以前总是认为视频和图片最能吸引学生兴趣，能提高学生的学习积极性，要多多使用，通过这节课，我才明白，如果教学媒体选择不当，可能不仅达不到教学效果，还会限制学生发展，如果一开始就使用视频，会将学生脑海中的形象固化，千篇一律，遏制了学生的想象。,绪论,2022/9/3 10:58,,,,,,,,
42,2021214151,\N,"这堂课我们学习了媒体教学的六种方法：文本，声音，视觉材料，录像，可操纵对象和观众。老师以一首古诗教学为例，给我们展示了不同的教学媒体，其中有重点词语解释，对象带入演唱，朗诵等等；老师还给我们展示了英语单词的记背方法，可用视频教学（闯关？）。
当然，不同的媒体教学给学生带来的影响程度或者说是学生的学习深度以及掌握程度都是不同的。因此，在教学中选择合适的媒体格式是很重要的，教师应争取让所有学生都能学到知识。所以在选择教学媒体格式时，就需要考虑到可用的媒体和技术，学习者的差异还有要达成的教学目标。
在中学期间，我的老师上课使用到的媒体格式太过单调，以致同学们的学习积极性不高，或者学生对知识点并没有深入理解。所以，作为师范生的我们，便要认真的学习这门课，能够灵活的并且正确的使用不同的媒体技术，为以后的教师生涯夯实基础。",第一节,2022/9/3 上午10:59:23,,,,,,,,
43,2021214143,\N,"        第一次上课印象最深的应该是媒体在教学中的应用。老师也给我们展示了针对不同学科不同年级的教学辅助方式。
       对于《题都城南庄》这首古诗，我认为在老师教学过后，让学生根据自己的理解和想象创作沙画这种方式很有意思。学生需要深刻理解诗文的含义后才能完成沙画。而沙画这一形式既有趣味性，又可以培养孩子的动手能力和创新想象能力。对于低年级学生来说，这还可以增强他们对于学习的积极性。
        而关于光合作用的过程，则是有一首老师改编过的歌曲。歌曲的节奏和旋律方便我们记忆歌词，因此学生可以轻松地记下光合作用的细节过程。
       各种媒体对于教学的帮助显而易见。",第一次课,2022/9/3 上午11:01:22,,,,,,,,
44,2021214188,\N,通过这节课的学习，我主要了解到了“教学技术与媒体”这门课程的主要内容，能从中学到什么，在接触这门课前，从课程名字上，我认为会是介绍一些用于教学技术的媒体的应用、实践，教授如何利用媒体做出一些教学作品，但在课上才了解到这门课也会介绍很多有关教学的理论和有关使用媒体的理论，有了理论支撑以后才能更好地运用媒体促进教和学。课堂中很多贴合生活的举例能帮助我很好地理解和掌握学习内容，我们对利用网课视频、ppt、线上学习平台等现况觉得习以为常，也正体现了利用媒体促进教学其实发生在现在学习过程中的时时刻刻。,1,2022/9/3 13:31,,,,,,,,
45,2021214183,\N,在上这门课之前我以为这门课应该是个实验应用课，上完第一节课才对这门课有了基本的认识，感觉这门课更加偏向于理论的认识，并将这些理论与合适的学习方法结合起来运用到实践的教学中去。第一节课中印象深的应该就是如何去增强记忆效果和学习效果，课堂中讲了将知识与图片，声音，动作结合起来更有助于强化记忆。这也启发我们教学的方法有很多种，选择最合适，最利于学生接受的 方法更有利于学生的学习，以及在网络媒体流行的时代，作为老师尤其是我们教育技术学方向的师范生应该掌握如何运用这些新媒体，将教学方法和新媒体实现好的结合。,对媒体和技术的新的认识,2022/9/3 下午2:36:33,,,,,,,,
51,2021214178,\N,本节课我们了解了这门课的课程定位、主要内容、预期目标、评价方式以及学习指导，通过一些常见学习任务，例如背英文单词，初步了解了教学技术与媒体在教学过程中的应用，对本门课有了初步的了解，在接下来的学习过程中会做好课前预习、课上协作、课后反思。,绪论,2022/9/3 21:23,,,,,,,,
52,2021214167,\N,教学技术与媒体属于教育心理模块的课程，其中包含了多媒体学习理论、教学理论与学习理论的相关知识，主要讲述理论知识、学习环境与教学媒体。第一课主要讲述了教学技术与媒体的内涵与学习目标，让我们了解了学习其课程的意义与价值。闵秋莎老师教导我们上课要从文本、音频、视频与视觉方面出发，将学习具体化、可视化。闵秋莎老师通过举背英语单词、学古诗词和学光合作用的例子，教导我们要选择适合的教学方法，选择合适的教学顺序，不能杂乱无章。,第一课,2022/9/4 8:49,,,,,,,,
53,2020213700,\N,"        我了解到本课程的预期目标分成两个阶段:第一阶段是学会使用和评价数字化教与学的资源.第二个阶段是在此基础上设计解决方案解决教学领域的复杂问题.
       本课程注重过程性评价,70%的平时分占比要求我们做到预习,反思,实验和开发,我会努力达到这个标准来达到良好的学习效果",第一节课反思,2022/9/4 10:29,,,,,,,,
54,2021214150,\N,通过第一堂课对教育技术与媒体有了基本的了解。让我了解到对于同一个知识，能够运用到不同的媒体，方法；让我更加了解到教育技术与媒体在对不同阶段的学生也要运用到不同的媒体；以及教育技术与媒体在实际教学实践中的广泛运用。而我对于将教育技术与媒体运用在实际教学实践中的能力还是存在不足的，我也会继续努力、提到自己的能力。,第一堂课后的反思,2022/9/4 12:21,,,,,,,,
