"9","kakaki","1","0","阿萨d ","阿松大"
"10","kakaki","1","0","打赏的","阿松大"
"11","test","1","0","内容","标题"
"12","2020213338","1","367","在关系数据库中，只考虑有限关系。因为无限关系既不能显示存储，也不能有效地显示","关系数据库只考虑有效关系"
"13","2020213338","1","375","指的是不可再分性","属性的原子性"
"14","2020213338","1","180","可以是有限集，也可以是无限集。
如果域D为有限集，那么D中元素的个数就是它的基数，记作|D|","域"
"15","2020213338","1","206","对于域的操作，多个域进行笛卡尔积之后得到的是它们中各自取一个元素排列组合后得到的域的集合。如果都是有限集，那么笛卡尔积之后得到的集的基数是之前各个集的基数之积","笛卡尔积"
"16","2020213338","1","251","关系r是多个域进行笛卡尔积之后得到的集合的任意子集，n个域笛卡尔积得到的关系叫做n元关系","关系"
"18","2020213381","1","140","关系的逻辑结构就是一张展平的二维表","从用户的角度来看关系"
"19","2020213381","1","286","表头：各列的属性名
其余每行对应一个元组（代表一个实体或者联系）","二维表"
"20","2020213381","1","333","列的顺序改变，每个元组的含义并不会发生改变","列的顺序"
"21","2020213381","1","376","属性的原子性指的是不可再分性，是规范化关系的基本要求","属性的原子性"
"22","2020213381","2","12","实体集又三类码：超码、候选码和主码","实体集的码"
"24","2020213381","2","51","码是指可以标识一个元组的最小的属性集","码"
"25","2020213381","2","67","码+别的属性","超码"
"26","2020213381","2","115","码可能不唯一，在实际中选取的码成为主码，其余的码成为候选码","主码、候选码"
"27","2020213381","2","122","码中出现的属性为主属性，不在任何属性中出现的码称为非主属性","主属性和非主属性"
"28","2020213381","3","23","包括：实体完整性、参照完整性和用户自定义的完整性","关系的完整性约束"
"29","2020213381","3","100","空值不可比较","空值"
"30","2020213381","3","118","主码唯一且不为空","实体完整性"
"31","2020213381","3","252","一张表的非主码属性和另一张表的主码对应，这个属性就是这张表的外码","外码"
"32","2020213381","3","335","参照了就不能不一样，要么为空值，要么就要对应，不能出圈","参照完整性"
"33","2020213381","3","389","value值的范围的约束","用户字定义的完整性"
"34","2020213381","4","41","选择、投影、并、差和笛卡尔积","基本的运算符"
"36","2020213381","4","173","选择是行运算
投影是列运算","选择和投影"
"37","2020213381","4","231","最基本的条件是两个关系又相同的属性","并和差运算"
"38","2020213381","4","266","可以看作是两个关系的属性相加，比如关系A有三个属性，B又两个，笛卡尔积后有5个属性","笛卡尔积"
"39","2020213381","4","302","属性多了，每行的元组排列组合","笛卡尔积"
"40","2020213381","5","38","元组变量即查询目的
元组演算的谓词公式即查询条件","元组关系演算"
"41","2020213308","1","164","具有相同类型的值的集合。分有限集和无穷集。","域"
"42","2020213308","1","184","有限集中元素的个数。","基数"
"43","2020213336","1","174","具有相同数据类型的值的集合都可以被称作域","域"
"44","2020213336","1","205","笛卡尔积后得到的是一个新的集合","笛卡尔积"
"45","2020213336","1","367","原子的即不可再分","关系的属性必须是原子的"
"46","2020213336","2","121","超码是唯一标识一个元组的属性或属性集","超码"
"47","2020213336","2","185","数据库的所有对象","域"
"48","2020213380","2","16","超码、候选码、主码","关系"
"49","2020213308","2","286","关系模式名、诸属性、属性对应的域、映射、属性间的数据依赖","关系模式"
"50","2020213308","2","37","1. 码: 所谓码就是能唯一标识实体的属性，它是整个实体集的性质，而不是单个实体的性质。 2. 超码: 超码是一个或多个属性的集合，这些属性可以让我们在一个实体集中唯一地标识一个实体。 如果K是一个超码，那么K的任意超集也是超码，也就是说如果K是超码，那么所有包含K的集合也是超码。","关系的码"
"51","2020213308","2","147","在数据库的表（关系）中能够用于唯一区分开每个记录（元组）的属性或属性的集合，我们称之为码（候选码）。
当我们指定其中一个用来区分开每个记录（元组）的码为主码。
主属性是指包含在候选码中的属性。","主码"
"52","2020213336","3","17","关系的完整性约束是约束数组的规则","关系的完整性约束"
