34,2021214136,1,1
35,2021214135,1,1
36,2021214135,2,1
37,2021214180,1,1
38,2021214180,2,1
39,2021214180,3,1
41,2021214136,2,1
43,2021214136,3,1
44,2021214194,1,1
45,2021214167,3,1
46,2021214167,4,1
47,2021214161,1,1
48,2021214169,1,1
49,2021214161,2,1
50,2021214161,3,1
51,2021214183,2,1
52,2021214183,1,1
53,2021214183,3,1
54,2021214183,4,1
58,2020213700,1,1
60,2021214175,1,1
61,2021214175,3,1
62,2021214175,2,1
63,2021214175,4,1
64,2021214149,1,1
66,2021214149,2,1
67,2021214149,3,1
68,2021214149,4,1
69,2021214392,1,1
70,2021214147,2,1
71,2021214392,3,1
72,2021214195,1,1
73,2021214153,2,1
74,2021214169,2,1
75,2021214157,4,1
76,2021214167,23,1
77,2021214169,23,1
78,2021214180,4,1
80,2021214180,23,1
81,2021214180,24,1
82,2021214180,25,1
83,2021214149,23,1
84,2021214149,24,1
85,2021214149,25,1
86,2021214149,26,1
88,2021214175,23,1
89,2021214175,24,1
90,2021214175,25,1
91,2021214175,26,1
92,2021214157,23,1
93,2021214157,25,1
94,2021214157,26,1
95,2021214180,6,1
96,2021214180,5,1
97,2021214167,5,1
98,2021214147,1,1
99,2021214175,5,1
100,2021214175,6,1
102,2021214180,8,1
103,2021214180,26,1
104,2021214180,9,1
105,2021214175,8,1
106,2021214175,9,1
107,2021214392,5,1
108,2021214180,22,1
109,2021214175,22,1
110,2021214180,10,1
112,2021214180,11,1
114,2021214180,12,1
115,2021214167,11,1
117,2021214175,10,1
118,2021214175,11,1
119,2021214175,12,1
120,2021214161,11,1
121,2021214180,14,1
122,2021214180,15,1
123,2021214180,16,1
124,2021214180,17,1
125,2021214139,10,1
126,2021214167,12,1
127,2021214392,10,1
128,2021214167,14,1
129,2021214167,15,1
130,2021214134,14,1
131,2021214175,14,1
132,2021214175,15,1
133,2021214175,16,1
134,2021214175,17,1
135,2021214180,18,1
138,2021214180,19,1
139,2021214167,18,1
140,2021214167,19,1
141,2021214167,16,1
142,2021214167,17,1
143,2021214175,18,1
144,2021214175,19,1
146,2021214180,20,1
147,2021214392,19,1
148,2021214193,19,1
149,2021214175,20,1
150,2021214175,21,1
